Id,kepid,kepoi_name,koi_period
57,11754553,K00775.03,36.4454001
58,11812062,K00776.01,3.728732147
59,11818800,K00777.01,40.4195037
60,11853255,K00778.01,2.243380573
61,11909839,K00779.01,10.40599802
62,11918099,K00780.01,2.337437946
63,11918099,K00780.02,7.2406612
64,9579641,K00115.03,3.43591631
65,11923270,K00781.01,11.59822233
66,11960862,K00782.01,6.575315881
67,12020329,K00783.01,7.275040844
68,12066335,K00784.01,19.27153892
69,12066335,K00784.02,10.06524317
70,12070811,K00785.01,12.3935651
71,8395660,K00116.02,43.84439721
72,3120431,K00798.01,3.341913228
73,3246984,K00799.01,1.626630225
74,3342970,K00800.01,2.711504086
75,3342970,K00800.02,7.21203748
76,12459725,K00789.01,14.1798187
77,12470844,K00790.01,8.47237911
78,12470844,K00790.02,60.4189369
79,12644822,K00791.01,12.61190435
80,2440757,K00792.01,1.433769925
81,2445129,K00793.01,10.31872301
82,2713049,K00794.01,2.539183147
83,3114167,K00795.01,6.770300385
84,3114661,K00796.01,0.444291966
85,3115833,K00797.01,10.181584
86,4139816,K00812.02,20.06036336
87,4139816,K00812.03,46.1842039
88,8395660,K00116.04,23.9800854
89,4139816,K00812.04,7.82502168
90,4275191,K00813.01,3.895936525
91,4476123,K00814.01,22.36646466
92,3351888,K00801.01,1.625522174
93,3453214,K00802.01,19.62034692
94,3554600,K00803.01,7.544039
95,3641726,K00804.01,9.02930689
96,3734868,K00805.01,10.32803571
97,3832474,K00806.01,143.2063047
98,8395660,K00116.03,6.164876
99,3832474,K00806.02,60.32494216
100,3832474,K00806.03,29.1598615
101,3836375,K00807.01,1.540397253
102,3838486,K00808.01,2.99025443
103,3935914,K00809.01,1.594745374
104,3940418,K00810.01,4.783002698
105,4049131,K00811.01,20.50588921
106,4139816,K00812.01,3.340218842
107,5287983,K00828.01,2.507089906
108,5358241,K00829.01,18.64932728
109,10875245,K00117.02,4.90144976
110,5358241,K00829.02,9.75192101
111,5358241,K00829.03,38.5576546
112,5358624,K00830.01,3.525632539
113,4544670,K00815.01,34.84398644
114,4664847,K00816.01,7.748094239
115,4725681,K00817.01,23.96793669
116,4913852,K00818.01,8.11437482
117,4932348,K00819.01,38.03672948
118,4936180,K00820.01,4.64090031
119,11913073,K00011.01,3.747838198
120,10875245,K00117.01,14.74914825
121,5021899,K00821.01,21.81295996
122,5077629,K00822.01,7.91936937
123,5115978,K00823.01,1.028436523
124,5164255,K00824.01,15.37562369
125,5252423,K00825.01,8.10363271
126,5252423,K00825.02,4.71510843
127,5272878,K00826.01,6.365839713
128,5283542,K00827.01,5.97581754
129,5649215,K00839.01,2.446737317
130,5651104,K00840.01,3.04033046
131,5792202,K00841.01,15.33528675
132,10875245,K00117.04,7.95825328
133,5792202,K00841.02,31.33046135
134,5370302,K00831.01,3.9043425
135,5372966,K00832.01,9.286358079
136,5376067,K00833.01,3.951405455
137,5436502,K00834.01,23.65369415
138,5436502,K00834.02,13.23352214
139,5436502,K00834.03,6.15560285
140,5436502,K00834.04,2.090811305
141,10875245,K00117.03,3.180027898
142,5436502,K00834.05,50.4467417
143,5456651,K00835.01,11.76307164
144,5456651,K00835.02,56.2279271
145,5481416,K00836.01,2.384052875
146,5531576,K00837.01,7.953547
147,5531576,K00837.02,4.14451656
148,5534814,K00838.01,4.859386384
149,6291653,K00850.01,10.52629458
150,6392727,K00851.01,4.583520948
151,6422070,K00852.01,3.76181843
152,6428700,K00853.01,8.20396958
153,6428700,K00853.02,14.49645186
154,5792202,K00841.03,6.54626149
155,5794379,K00842.01,12.71809866
156,5794379,K00842.02,36.06588163
157,5881688,K00843.01,4.190425659
158,6022556,K00844.01,3.709870784
159,6032497,K00845.01,16.3297527
160,6061119,K00846.01,27.80756622
161,6191521,K00847.01,80.8723469
162,6267425,K00848.01,3.166465862
163,3531558,K00118.01,24.99324319
164,6276477,K00849.01,10.35533116
165,6863998,K00867.01,16.08518937
166,6867155,K00868.01,235.9986399
167,6948054,K00869.01,7.49018305
168,6948054,K00869.02,36.2761238
169,6948054,K00869.03,17.46087931
170,6435936,K00854.01,56.0560754
171,6522242,K00855.01,41.40831669
172,6526710,K00856.01,39.74893077
173,6587280,K00857.01,5.715425977
174,9471974,K00119.01,49.18394185
175,6587280,K00857.02,20.0261412
176,6599919,K00858.01,13.61014819
177,6675056,K00859.01,10.44331991
178,6685526,K00861.01,2.237489571
179,6756669,K00862.01,5.851520671
180,6784235,K00863.01,3.167893418
181,6849310,K00864.01,4.311780262
182,6849310,K00864.02,20.0504494
183,6849310,K00864.03,9.76734503
184,6862328,K00865.01,119.0207044
185,9471974,K00119.02,190.3200468
186,6862603,K00866.01,2.861159894
187,7366258,K00880.01,26.44439337
188,7366258,K00880.02,51.53997972
189,7366258,K00880.03,5.902245782
190,7366258,K00880.04,2.382951591
191,7373451,K00881.01,21.02250608
192,6948054,K00869.04,3.219814777
193,6949607,K00870.01,5.912273234
194,6949607,K00870.02,8.98581901
195,7031517,K00871.01,12.94066866
196,11869052,K00120.01,20.5452375
197,7109675,K00872.01,33.60123371
198,7109675,K00872.02,6.76652928
199,7118364,K00873.01,4.347288783
200,7134976,K00874.01,4.601811819
201,7134976,K00874.02,11.18719905
202,7135852,K00875.01,4.220965778
203,7270230,K00876.01,6.998099523
204,7287995,K00877.01,5.95489993
205,7287995,K00877.02,12.03987488
206,7287995,K00877.03,20.83762895
207,3247396,K00121.01,8.8111022
208,7303253,K00878.01,23.58917143
209,5094751,K00123.01,6.481633073
210,7678434,K00892.01,10.37168928
211,7678434,K00892.02,3.96996298
212,7685981,K00893.01,4.40841331
213,7708215,K00894.01,7.9426176
214,7373451,K00881.02,226.8904775
215,7377033,K00882.01,1.956811408
216,7380537,K00883.01,2.688899233
217,7434875,K00884.01,9.439459486
218,8349582,K00122.01,11.52306746
219,7434875,K00884.02,20.47748843
220,7434875,K00884.03,3.336123113
221,7455287,K00886.01,8.01078456
222,7455287,K00886.02,12.07134205
223,7455287,K00886.03,20.99587872
224,7458762,K00887.01,7.41113177
225,7552344,K00888.01,1.000747038
226,757450,K00889.01,8.884922995
227,7585481,K00890.01,8.09888906
228,7663691,K00891.01,10.00653012
229,5812701,K00012.01,17.85522168
230,8013419,K00901.01,12.73262407
231,8018547,K00902.01,83.92494032
232,8039892,K00903.01,5.007316661
233,8150320,K00904.01,2.211116989
234,8150320,K00904.02,27.9541337
235,11086270,K00124.01,12.69104387
236,7767559,K00895.01,4.409409243
237,7825899,K00896.01,16.23947096
238,7825899,K00896.02,6.308201629
239,7849854,K00897.01,2.052349884
240,7870390,K00898.01,9.7704486
241,7870390,K00898.02,5.169804269
242,5094751,K00123.02,21.22261195
243,7870390,K00898.03,20.09017037
244,7907423,K00899.01,7.11373257
245,7907423,K00899.02,3.306551643
246,7907423,K00899.03,15.36845737
247,7938496,K00900.01,13.81020318
248,8490993,K00911.01,4.093578461
249,8490993,K00911.02,105.145959
250,8505670,K00912.01,10.8484518
251,8505670,K00912.02,6.66833241
252,8544996,K00913.01,4.082274889
253,8552202,K00914.01,3.886655224
254,8150320,K00904.03,42.1406089
255,8150320,K00904.04,4.617490562
256,8150320,K00904.05,10.19849255
257,8180063,K00905.01,5.795063956
258,8226994,K00906.01,7.15681552
259,8226994,K00906.02,17.64830851
260,8226994,K00906.03,4.14810719
261,8247638,K00907.01,16.51410989
262,8247638,K00907.02,30.1329298
263,8247638,K00907.03,4.79090809
264,11086270,K00124.02,31.71981013
265,8247638,K00907.04,99.6415962
266,8255887,K00908.01,4.708326451
267,8256049,K00909.01,16.37198661
268,8414716,K00910.01,5.392026903
269,9140402,K00928.01,2.494170338
270,9141746,K00929.01,6.491682808
271,9159275,K00930.01,3.044770796
272,9166862,K00931.01,3.855603916
273,9166870,K00932.01,3.855599139
274,11449844,K00125.01,38.47876629
275,8605074,K00915.01,37.60166128
276,8628973,K00916.01,3.314947362
277,8655354,K00917.01,6.71969089
278,8672910,K00918.01,39.6431552
279,8686150,K00919.01,51.42598578
280,8689031,K00920.01,21.80451611
281,8689373,K00921.01,10.28194593
282,8689373,K00921.02,18.11993039
283,8689373,K00921.03,3.78402867
284,8826878,K00922.01,5.15448142
285,5897826,K00126.01,33.80364366
286,8883593,K00923.01,5.743469797
287,8951215,K00924.01,39.4759093
288,9016295,K00925.01,19.97448524
289,9077124,K00926.01,3.166353562
290,9097120,K00927.01,23.89963441
291,9466668,K00939.01,3.388012244
292,9466668,K00939.02,5.83909761
293,9466668,K00939.03,1.620467654
294,9466668,K00939.04,10.6816951
295,9479273,K00940.01,6.104849417
296,8359498,K00127.01,3.578780566
297,9171801,K00933.01,3.187067566
298,9334289,K00934.01,5.826657508
299,9334289,K00934.02,12.41216347
300,9334289,K00934.03,18.74649011
301,9347899,K00935.01,20.86021229
302,9347899,K00935.02,42.63427848
303,9347899,K00935.03,87.6476068
304,9347899,K00935.04,9.61731426
305,9388479,K00936.01,9.467821474
306,9388479,K00936.02,0.893040969
307,11359879,K00128.01,4.942783419
308,9406990,K00937.01,20.83426731
309,9415172,K00938.01,9.94602357
310,9415172,K00938.02,1.04562195
311,9415172,K00938.03,5.71462396
312,9904059,K00145.01,102.9641952
313,3231341,K01102.02,8.14515981
314,3231341,K01102.03,18.9985279
315,3231341,K01102.04,4.24439049
316,2860866,K01103.01,90.1240507
317,7626506,K00150.02,28.5742692
318,10460629,K01168.01,856.672115
319,10319385,K01169.01,0.689210173
320,10482160,K01170.01,7.34373964
321,10485069,K01171.01,0.445277068
322,3233043,K00966.01,0.379463865
323,6579806,K00967.01,9.88047978
324,3560301,K00968.01,4.6484156
325,4044005,K00969.01,17.51201477
326,11502218,K00970.01,3.9886021
327,11180361,K00971.01,0.533059312
328,5802246,K01044.01,0.525154153
329,6066403,K01045.01,1.303861044
330,6209637,K01046.01,0.73452496
331,5988031,K01047.01,2.55549176
332,7684873,K00014.01,2.947376671
333,8559644,K00139.01,224.7789355
334,2851100,K01104.01,0.890110752
335,3130300,K01105.01,5.76573396
336,3240158,K01106.01,7.42608123
337,3240158,K01106.02,15.9868932
338,3228959,K01107.01,0.73094589
339,3218908,K01108.01,18.92537246
340,10341913,K01172.01,0.933749106
341,10480921,K01173.01,2.037440623
342,10287723,K01174.01,129995.7784
343,10350571,K01175.01,31.5925809
344,3749365,K01176.01,1.97376085
345,11013201,K00972.01,13.11896244
346,11673674,K00133.01,4.618767792
347,11013201,K00972.02,7.82187328
348,9414417,K00974.01,53.5057611
349,3632418,K00975.01,2.785821236
350,3441784,K00976.01,52.56901867
351,5820218,K01048.01,3.411758679
352,5876368,K01049.01,0.525426427
353,5809890,K01050.01,1.269091415
354,6131236,K01051.01,6.79685353
355,9048161,K00146.01,8.667822346
356,3218908,K01108.02,1.475323222
357,3218908,K01108.03,4.15246118
358,3235672,K01109.01,6.7210783
359,2837111,K01110.01,8.7348852
360,3120276,K01111.01,10.26547688
361,2307199,K00151.01,13.4471791
362,3547091,K01177.01,3.305577989
363,3869825,K01178.01,4.800653901
364,3655332,K01179.01,15.06649901
365,4042026,K01180.01,34.82008158
366,3344419,K01181.01,0.651784374
367,11192141,K00977.01,1.353771892
368,11494130,K00978.01,18.95491633
369,5648449,K00979.01,4.348866254
370,12167361,K00980.01,47.93094546
371,8607720,K00981.01,3.99751422
372,1433962,K00982.01,1.592633181
373,9032900,K00134.01,67.5923754
374,5956342,K01052.01,17.02902786
375,5956342,K01052.02,6.84619236
376,5956342,K01052.03,67.8321638
377,5956342,K01052.04,43.1312147
378,5956656,K01053.01,1.224866441
379,3109930,K01112.01,37.8102649
380,2854914,K01113.01,25.93406406
381,2854914,K01113.02,83.4463485
382,3337425,K01114.01,7.04710032
383,3116412,K01115.01,12.99204853
384,3865567,K01182.01,11.11620211
385,3544689,K01183.01,1.922861499
386,4037164,K01184.01,0.635445336
387,3443790,K01185.01,1.665784138
388,3966912,K01186.01,55.6639167
389,8394721,K00152.01,52.09081627
390,11607193,K00983.01,7.1548608
391,1161345,K00984.01,4.28746668
392,10227501,K00985.01,2.002779769
393,2854698,K00986.01,8.18739443
394,2854698,K00986.02,76.0498163
395,8559644,K00139.02,3.341799486
396,6032981,K01054.01,3.3226948
397,5866099,K01055.01,36.97708808
398,5964985,K01056.01,1.851409163
399,6066416,K01057.01,1.303859704
400,1996679,K00147.01,145.5624926
401,2849805,K01116.01,3.749105745
402,3114811,K01117.01,11.08956602
403,2853446,K01118.01,7.37290344
404,3003992,K01119.01,7.24476126
405,3942446,K01193.01,119.0624882
406,3554031,K01194.01,8.70798309
407,3554031,K01194.02,14.8623076
408,3554031,K01194.03,4.17634276
409,8394721,K00152.02,27.40229859
410,7295235,K00987.01,3.179267286
411,2302548,K00988.01,10.38122447
412,2302548,K00988.02,24.5709023
413,10743597,K00989.01,81.221876
414,10743597,K00989.02,0.817026268
415,9818381,K00135.01,3.024092505
416,6124941,K01058.01,5.670155713
417,6060203,K01059.01,1.022678654
418,5880320,K01060.01,12.10968709
419,5880320,K01060.02,4.75796103
420,5880320,K01060.03,20.4972755
421,3003992,K01119.02,13.55480534
422,6307537,K01120.01,29.74454668
423,6359798,K01121.01,14.15402428
424,6311681,K01122.01,0.844786082
425,6365321,K01123.01,0.848483947
426,6301035,K01124.01,11.99097576
427,3859079,K01199.01,53.5292702
428,3557493,K01200.01,0.393726813
429,4061149,K01201.01,2.757584622
430,3444588,K01202.01,0.928310036
431,8394721,K00152.03,13.48457668
432,3962243,K01203.01,31.8841473
433,10743597,K00989.03,16.15811112
434,10015516,K00990.01,67.69213907
435,10154388,K00991.01,12.06222962
436,1432789,K00992.01,9.93146307
437,1718189,K00993.01,21.85362905
438,5880320,K01060.04,8.19345065
439,5130369,K00140.01,19.97867
440,6037187,K01061.01,41.8059544
441,6147122,K01062.01,15.45158184
442,8257407,K01063.01,89.69816853
443,8218274,K01064.01,1.187352427
444,3964562,K00015.01,3.012476582
445,5735762,K00148.01,4.77800306
446,6292162,K01125.01,7.814839231
447,6307521,K01126.01,29.7452499
448,6359320,K01127.01,5.32667299
449,3848972,K01187.01,0.741057213
450,3860441,K01188.01,2.988085455
451,3765771,K01189.01,2.783883492
452,3557341,K01190.01,0.393727296
453,3859628,K01191.01,8.17242644
454,3644071,K01192.01,1295.362215
455,1718189,K00993.02,13.0607936
456,1431122,K00994.01,4.2989201
457,3858949,K00995.01,25.9518461
458,3858824,K00996.01,25.9518536
459,2157247,K00997.01,5.68628739
460,7601633,K00136.01,15.66388695
461,8242681,K01065.01,4.020628573
462,8260218,K01066.01,5.714817603
463,8246781,K01067.01,185.0228822
464,8264070,K01068.01,2.897432135
465,8222813,K01069.01,8.70420525
466,6359320,K01127.02,8.1280933
467,6359320,K01127.03,2.83668931
468,6362874,K01128.01,0.974868896
469,6272413,K01129.01,4.89721006
470,8279765,K01130.01,2.757794163
471,8330548,K01132.01,1.914158508
472,3348082,K01196.01,3.98216698
473,3853673,K01197.01,0.643794198
474,3447722,K01198.01,16.08832318
475,3447722,K01198.02,10.30067919
476,3447722,K01198.03,35.6757453
477,3447722,K01198.04,1.00861677
478,1432214,K00998.01,161.7883271
479,2165002,K00999.01,16.56806842
480,2165002,K00999.02,47.3329299
481,2441728,K01000.01,0.856895349
482,1871056,K01001.01,40.8065333
483,8222813,K01069.02,2.46697039
484,12105051,K00141.01,2.624234833
485,8240904,K01070.01,6.61836309
486,8240904,K01070.02,107.7214092
487,8240904,K01070.03,92.77779
488,8374494,K01133.01,5.251916208
489,5735762,K00148.02,9.673958488
490,8414907,K01134.01,100.3039228
491,8414907,K01134.02,200.6110335
492,8397446,K01135.01,0.986620248
493,8386035,K01136.01,1.63484631
494,3962243,K01203.02,14.12847677
495,3962243,K01203.03,48.6478543
496,3438507,K01204.01,8.39842977
497,3869014,K01205.01,8.63847391
498,3756801,K01206.01,422.917678
499,1871056,K01001.02,140.10765
500,1865042,K01002.01,3.4815917
501,2438502,K01003.01,8.360616221
502,2309585,K01004.01,1.838514968
503,5780460,K01005.01,35.61760233
504,8244190,K01071.01,1.09206833
505,8229696,K01072.01,10.12805158
506,8262210,K01073.01,1.613001111
507,10272640,K01074.01,3.770551475
508,10232123,K01075.01,1.343767797
509,10223616,K01076.01,29.12436474
510,8415745,K01138.01,31.82814583
511,8378634,K01139.01,3.629442796
512,8397675,K01140.01,0.553261874
513,8346392,K01141.01,5.72812616
514,8288947,K01142.01,3.75574267
515,2437804,K06269.01,7.45301717
516,8312852,K01143.01,7.44042933
517,9480189,K00941.01,6.581477136
518,11974540,K00129.01,24.66919273
519,9480189,K00941.02,2.382652873
520,9480189,K00941.03,24.66461416
521,9512687,K00942.01,11.51517167
522,8644288,K00137.01,7.641567589
523,5738346,K01006.01,30.6113932
524,1725016,K01007.01,7.40742502
525,1722276,K01008.01,569.934135
526,892772,K01009.01,5.09246539
527,1027438,K01010.01,110.6157662
528,10268907,K01077.01,1.103971357
529,5446285,K00142.01,10.91610834
530,10166274,K01078.01,3.353732008
531,10166274,K01078.02,6.877446033
532,10166274,K01078.03,28.46464804
533,10153827,K01079.01,0.293630085
534,5735762,K00148.03,42.89645024
535,8302450,K01144.01,2.44199803
536,8313667,K01145.01,30.5872153
537,8351704,K01146.01,7.09712124
538,8299955,K01147.01,2.6827683
539,9513865,K00943.01,3.601465336
540,9595686,K00944.01,3.108251172
541,9605514,K00945.01,25.8474958
542,9605514,K00945.02,40.715561
543,9661877,K00946.01,20.42720701
544,5728283,K01011.01,6.198273591
545,8127639,K01012.01,1.023471798
546,6047498,K01013.01,0.51872711
547,8125580,K01014.01,17.31711739
548,8158127,K01015.01,9.42889884
549,10158990,K01080.01,1.096583368
550,10149023,K01081.01,9.95639775
551,10141900,K01082.01,6.50327035
552,10141900,K01082.02,4.09667624
553,10141900,K01082.03,1.196548464
554,8410727,K01148.01,11.47609015
555,8410727,K01148.02,25.2630467
556,8349405,K01149.01,7.1688266
557,8278371,K01150.01,0.677374687
558,8280511,K01151.01,10.43547031
559,8280511,K01151.02,7.41084314
560,9710326,K00947.01,28.59914031
561,9761882,K00948.01,24.58716355
562,5297298,K00130.01,34.19360031
563,9766437,K00949.01,12.53248222
564,9772531,K00950.01,31.20169247
565,9775938,K00951.01,13.19720694
566,8644288,K00137.02,14.85890852
567,8158127,K01015.02,4.08897299
568,8176653,K01016.01,2.866680334
569,8174625,K01017.01,17.44486016
570,8183911,K01018.01,8.30697421
571,8179973,K01019.01,2.49705175
572,10157458,K01083.01,7.33685101
573,4649305,K00143.01,22.65117451
574,10148521,K01084.01,1.204274435
575,10118816,K01085.01,7.71790675
576,10122255,K01086.01,27.6652847
577,3124412,K01087.01,0.948950734
578,3835670,K00149.01,14.55730897
579,10287248,K01152.01,4.722254104
580,10351767,K01153.01,0.635069939
581,10295951,K01154.01,6.810823723
582,10342041,K01155.01,0.933746515
583,10514770,K01156.01,1.872421727
584,9775938,K00951.02,33.6528474
585,9787239,K00952.01,5.90127815
586,9787239,K00952.02,8.75209691
587,9787239,K00952.03,22.78078241
588,9787239,K00952.04,2.896005211
589,9787239,K00952.05,0.742957911
590,2309719,K01020.01,54.35635067
591,2558363,K01021.01,0.54624855
592,2716853,K01022.01,18.82744023
593,2445154,K01023.01,8.4120069
594,2715135,K01024.01,5.747711909
595,8644288,K00137.03,3.504691252
596,3247268,K01089.01,86.67856052
597,3247268,K01089.02,12.21828097
598,3232859,K01090.01,8.387210055
599,3098184,K01091.01,15.2384539
600,2720309,K01092.01,0.413334492
601,10342065,K01157.01,0.93374614
602,10352945,K01158.01,6.47179275
603,10354039,K01159.01,64.617518
604,10330115,K01160.01,13.21409607
605,10426656,K01161.01,6.05729966
606,9820483,K00953.01,3.584101048
607,9941662,K00013.01,1.763587535
608,7778437,K00131.01,5.014234733
609,9823457,K00954.01,8.11528727
610,9823457,K00954.02,36.9250409
611,2574201,K01025.01,37.4783492
612,2166206,K01028.01,8.09695764
613,2164169,K01029.01,32.3122867
614,2574338,K01030.01,9.22961384
615,2584163,K01031.01,14.5598556
616,4180280,K00144.01,4.176254191
617,3239636,K01093.01,0.528755447
618,2721030,K01094.01,6.10027621
619,3329204,K01095.01,51.59809554
620,3230491,K01096.01,1500
621,3340070,K01097.01,10.9110487
622,7626506,K00150.01,8.408878137
623,10426656,K01161.02,10.93725572
624,10426656,K01161.03,2.97136658
625,10528068,K01162.01,158.6850022
626,10468940,K01163.01,2.936527336
627,9825625,K00955.01,7.03902016
628,9875711,K00956.01,8.360870704
629,7661409,K00957.01,3.14051153
630,1026957,K00958.01,21.76129812
631,10002261,K00959.01,12.71379418
632,8176650,K00960.01,15.80110003
633,2162635,K01032.01,1500.140677
634,5899544,K01034.01,1.739428983
635,5963222,K01035.01,1.217266418
636,5982353,K01036.01,19.56309252
637,6205468,K01037.01,3.7228551
638,8506766,K00138.01,48.93786896
639,3240706,K01098.01,5.48990788
640,2853093,K01099.01,161.5278347
641,3228824,K01100.01,0.73093905
642,3245969,K01101.01,11.39102358
643,3231341,K01102.01,12.33343853
644,10468940,K01163.02,8.01500821
645,10341831,K01164.01,0.933749941
646,10337517,K01165.01,7.053934488
647,10337517,K01165.02,4.29263699
648,10351231,K01166.01,7.6746614
649,10485179,K01167.01,0.445275074
650,8561063,K00961.01,1.213770423
651,8561063,K00961.02,0.453287416
652,8892910,K00132.01,10.81013273
653,10657664,K00964.01,3.273699006
654,3337351,K00965.01,7.047103499
655,5802486,K01039.01,1.073917869
656,5817553,K01040.01,4.206096814
657,5982368,K01041.01,19.56313723
658,5816811,K01042.01,2.227718792
659,5816165,K01043.01,0.591914504
660,7102227,K01360.01,36.7704935
661,7102227,K01360.02,14.58932429
662,7102227,K01360.03,0.764017553
663,6960913,K01361.01,59.8780258
664,6837146,K01362.01,20.51360192
665,11122894,K01426.02,74.92768653
666,11122894,K01426.03,150.0189511
667,11129738,K01427.01,2.613020421
668,11401182,K01428.01,0.927859786
669,11030711,K01429.01,205.912735
670,11512246,K00168.03,7.10695741
671,6607286,K01239.01,0.783276173
672,6607286,K01239.02,3.17405898
673,6690082,K01240.01,2.1395563
674,6690082,K01240.02,4.807103254
675,6448890,K01241.01,21.4054422
676,6448890,K01241.02,10.5007712
677,10730034,K01305.01,2.633852528
678,10730034,K01305.02,6.18670882
679,10858691,K01306.01,1.796320953
680,10858691,K01306.02,3.468073
681,10858691,K01306.03,5.9142668
682,8107380,K00162.01,14.00640392
683,6936909,K01363.01,3.546531809
684,6936909,K01363.02,5.70070626
685,6962977,K01364.01,20.8341497
686,6962977,K01364.02,7.0556584
687,11176127,K01430.01,10.47548084
688,11176127,K01430.02,22.92886314
689,11176127,K01430.03,77.4740991
690,11075279,K01431.01,345.1589354
691,11014932,K01432.01,6.88595222
692,6607447,K01242.01,99.6442783
693,6677256,K01243.01,3.125814002
694,8030148,K00155.01,5.660669429
695,6692833,K01244.01,10.80487163
696,6693640,K01245.01,13.71938426
697,10858691,K01306.04,29.2214959
698,10973814,K01307.01,44.8520997
699,10973814,K01307.02,20.34237838
700,6541920,K00157.05,118.3786735
701,10586208,K01308.01,23.58444746
702,6962977,K01364.03,11.97884409
703,6962977,K01364.04,3.71545593
704,6962977,K01364.05,2.58083264
705,7174351,K01365.01,1.487084251
706,6932987,K01366.01,19.25404023
707,11014932,K01432.02,15.0549356
708,11014932,K01432.03,2.92721119
709,11014932,K01432.04,38.2856338
710,11288505,K01433.01,19.80787763
711,11493431,K01434.01,2.343230566
712,6441738,K01246.01,19.03723442
713,8801343,K01247.01,2.73987398
714,8488878,K01248.01,5.801880653
715,8560285,K01249.01,85.34092607
716,8620565,K01250.01,0.782045734
717,8616873,K01251.01,0.576078683
718,10854768,K01309.01,10.1171684
719,10964440,K01310.01,19.12947603
720,10713616,K01311.01,83.5781976
721,10963242,K01312.01,6.1469956
722,10785538,K01313.01,0.522457732
723,6932987,K01366.02,54.1558384
724,8191672,K00018.01,3.548465446
725,6851425,K00163.01,11.1199028
726,6934291,K01367.01,0.567856484
727,7357531,K01368.01,251.0597249
728,6185711,K00169.01,11.70219638
729,11037335,K01435.01,40.7150498
730,11037335,K01435.02,10.44635944
731,11389771,K01436.01,2.508553286
732,11389771,K01436.02,13.75129636
733,8737796,K01252.01,0.885747456
734,8462258,K01253.01,3.611541977
735,10925104,K00156.01,8.041347775
736,8454250,K01254.01,5.082722475
737,8494263,K01255.01,78.9257421
738,8848271,K01256.01,9.991625291
739,10585852,K01314.01,8.57504983
740,10928043,K01315.01,6.84639884
741,10794087,K01316.01,7.64970832
742,10794087,K01316.02,12.37679312
743,6541920,K00157.06,10.30401132
744,4275739,K01317.01,2.171827838
745,7287415,K01369.01,3.016182013
746,6924203,K01370.01,6.8833761
747,6878167,K01371.01,0.833980196
748,6880531,K01372.01,69.62754202
749,6863839,K01373.01,1.926353494
750,7296086,K01374.01,0.890737359
751,11389771,K01436.03,5.41908491
752,11599038,K01437.01,7.01733571
753,11193263,K01438.01,6.91134223
754,11027624,K01439.01,394.6249514
755,11032227,K01440.01,7.19304935
756,8751933,K01257.01,86.64764448
757,8630788,K01258.01,36.33750453
758,8630788,K01258.02,14.64613058
759,8630788,K01258.03,148.272013
760,8823426,K01259.01,1.506507172
761,4070376,K01318.01,1.634614356
762,4078157,K01319.01,16.02501898
763,4164994,K01320.01,10.50682978
764,4480676,K01321.01,0.711966971
765,4079535,K01322.01,17.72724392
766,6766634,K01375.01,321.2124365
767,6774826,K01376.01,7.13895376
768,5652237,K00164.01,4.4645454
769,7211469,K01377.01,11.29689442
770,7375795,K01378.01,19.30112039
771,7255336,K00019.01,1.20320092
772,7831264,K00171.01,5.968724048
773,7802136,K01449.01,10.9802462
774,7532973,K01450.01,2.144632238
775,9632895,K01451.01,27.32204488
776,7449844,K01452.01,1.152216965
